[Angel Di Maria] | [PSG] | [2020/2021] | Goals: 5 | Assists: 15
[Angel Di Maria] | [PSG] | [2019/2020] | Goals: 13 | Assists: 22
[Angel Di Maria] | [PSG] | [2018/2019] | Goals: 19 | Assists: 16
[Angel Di Maria] | [PSG] | [2017/2018] | Goals: 21 | Assists: 9
[Angel Di Maria] | [PSG] | [2016/2017] | Goals: 14 | Assists: 15
[Angel Di Maria] | [PSG] | [2015/2016] | Goals: 15 | Assists: 22
[Heung Min Son] | [Tottenham] | [2023/2024] | Goals: 17 | Assists: 10
[Heung Min Son] | [Tottenham] | [2022/2023] | Goals: 14 | Assists: 6
[Heung Min Son] | [Tottenham] | [2021/2022] | Goals: 24 | Assists: 8
[Heung Min Son] | [Tottenham] | [2020/2021] | Goals: 22 | Assists: 15
[Heung Min Son] | [Tottenham] | [2019/2020] | Goals: 18 | Assists: 11
[Heung Min Son] | [Tottenham] | [2018/2019] | Goals: 20 | Assists: 19
[Heung Min Son] | [Tottenham] | [2017/2018] | Goals: 18 | Assists: 11
[Heung Min Son] | [Tottenham] | [2016/2017] | Goals: 21 | Assists: 7
[Heung Min Son] | [Tottenham] | [2015/2016] | Goals: 8 | Assists: 6
[Raheem Sterling] | [Chelsea] | [2023/2024] | Goals: 10 | Assists: 8
[Raheem Sterling] | [Chelsea] | [2022/2023] | Goals: 9 | Assists: 4
[Raheem Sterling] | [Man City] | [2021/2022] | Goals: 17 | Assists: 8
[Raheem Sterling] | [Man City] | [2020/2021] | Goals: 14 | Assists: 10
[Raheem Sterling] | [Man City] | [2019/2020] | Goals: 31 | Assists: 5
[Raheem Sterling] | [Man City] | [2018/2019] | Goals: 25 | Assists: 15
[Raheem Sterling] | [Man City] | [2017/2018] | Goals: 23 | Assists: 13
[Raheem Sterling] | [Man City] | [2016/2017] | Goals: 10 | Assists: 15
[Raheem Sterling] | [Man City] | [2015/2016] | Goals: 11 | Assists: 8
[Riyad Mahrez] | [Al Ahli] | [2023/2024] | Goals: 12 | Assists: 13
[Riyad Mahrez] | [Man City] | [2022/2023] | Goals: 15 | Assists: 13
[Riyad Mahrez] | [Man City] | [2021/2022] | Goals: 24 | Assists: 9
[Riyad Mahrez] | [Man City] | [2020/2021] | Goals: 14 | Assists: 9
[Riyad Mahrez] | [Man City] | [2019/2020] | Goals: 13 | Assists: 13
[Riyad Mahrez] | [Man City] | [2018/2019] | Goals: 12 | Assists: 12
[Riyad Mahrez] | [Leicester] | [2017/2018] | Goals: 13 | Assists: 12
[Riyad Mahrez] | [Leicester] | [2016/2017] | Goals: 10 | Assists: 6
[Riyad Mahrez] | [Leicester] | [2015/2016] | Goals: 18 | Assists: 11
[Sadio Mane] | [AL Nassr] | [2023/2024] | Goals: 19 | Assists: 11
[Sadio Mane] | [Bayern Munchen] | [2022/2023] | Goals: 12 | Assists: 6
[Sadio Mane] | [Liverpool] | [2021/2022] | Goals: 23 | Assists: 2
[Sadio Mane] | [Liverpool] | [2020/2021] | Goals: 16 | Assists: 8
[Sadio Mane] | [Liverpool] | [2019/2020] | Goals: 22 | Assists: 9
[Sadio Mane] | [Liverpool] | [2018/2019] | Goals: 26 | Assists: 2
[Sadio Mane] | [Liverpool] | [2017/2017] | Goals: 20 | Assists: 9
[Sadio Mane] | [Liverpool] | [2016/2017] | Goals: 13 | Assists: 7
[Sadio Mane] | [Liverpool] | [2015/2016] | Goals: 15 | Assists: 6
[Alvaro Morata] | [Atletico Madrid] | [2023/2024] | Goals: 21 | Assists: 4
[Alvaro Morata] | [Atletico Madrid] | [2022/2023] | Goals: 15 | Assists: 3
[Alvaro Morata] | [Juventus] | [2021/2022] | Goals: 12 | Assists: 7
[Alvaro Morata] | [Juventus] | [2020/2021] | Goals: 20 | Assists: 11
[Alvaro Morata] | [Atletico Madrid] | [2019/2020] | Goals: 16 | Assists: 4
[Alvaro Morata] | [Atletico Madrid] | [2018/2019] | Goals: 6 | Assists: 1
[Alvaro Morata] | [Chelsea] | [2017/2018] | Goals: 9 | Assists: 0
[Alvaro Morata] | [Chelsea] | [2016/2017] | Goals: 15 | Assists: 6
[Alvaro Morata] | [Real Madrid] | [2015/2016] | Goals: 20 | Assists: 5
[Bernardo Silva] | [Man City] | [2023/2024] | Goals: 12 | Assists: 10
[Bernardo Silva] | [Man City] | [2022/2023] | Goals: 7 | Assists: 6
[Bernardo Silva] | [Man City] | [2021/2022] | Goals: 13 | Assists: 7
[Bernardo Silva] | [Man City] | [2020/2021] | Goals: 5 | Assists: 9
[Bernardo Silva] | [Man City] | [2019/2020] | Goals: 8 | Assists: 10
[Bernardo Silva] | [Man City] | [2018/2019] | Goals: 13 | Assists: 13
[Bernardo Silva] | [Man City] | [2017/2018] | Goals: 9 | Assists: 10
[Bernardo Silva] | [Monaco] | [2016/2017] | Goals: 11 | Assists: 10
[Bernardo Silva] | [Monaco] | [2015/2016] | Goals: 7 | Assists: 1
[Erling Haaland] | [Man City] | [2023/2024] | Goals: 38 | Assists: 6
[Erling Haaland] | [Man City] | [2022/2023] | Goals: 52 | Assists: 9
[Erling Haaland] | [Dortmund] | [2021/2022] | Goals: 29 | Assists: 7
[Erling Haaland] | [Dortmund] | [2020/2021] | Goals: 41 | Assists: 10
[Erling Haaland] | [Dortmund] | [2019/2020] | Goals: 16 | Assists: 2
[Erling Haaland] | [Salzburg] | [2018/2019] | Goals: 28 | Assists: 5
[Erling Haaland] | [Salzburg] | [2017/2018] | Goals: 1 | Assists: 0
[Erling Haaland] | [Molde] | [2016/2017] | Goals: 16 | Assists: 4
[Erling Haaland] | [Molde] | [2015/2016] | Goals: 3 | Assists: 1
[Romelu Lukaku] | [Roma] | [2023/2024] | Goals: 21 | Assists: 4
[Romelu Lukaku] | [Inter ] | [2022/2023] | Goals: 14 | Assists: 7
[Romelu Lukaku] | [Chelsea] | [2021/2022] | Goals: 15 | Assists: 0
[Romelu Lukaku] | [Inter] | [2020/2021] | Goals: 30 | Assists: 11
[Romelu Lukaku] | [Inter] | [2019/2020] | Goals: 34 | Assists: 6
[Romelu Lukaku] | [Man United] | [2018/2019] | Goals: 15 | Assists: 3
[Romelu Lukaku] | [Man United] | [2017/2018] | Goals: 27 | Assists: 9
[Romelu Lukaku] | [Everton] | [2016/2017] | Goals: 26 | Assists: 7
[Romelu Lukaku] | [Everton] | [2015/2016] | Goals: 25 | Assists: 6
[Luka Modric] | [Real Madrid] | [2023/2024] | Goals: 2 | Assists: 7
[Luka Modric] | [Real Madrid] | [2022/2023] | Goals: 6 | Assists: 6
[Luka Modric] | [Real Madrid] | [2021/2022] | Goals: 3 | Assists: 12
[Luka Modric] | [Real Madrid] | [2020/2021] | Goals: 6 | Assists: 6
[Luka Modric] | [Real Madrid] | [2019/2020] | Goals: 5 | Assists: 7
[Luka Modric] | [Real Madrid] | [2018/2019] | Goals: 4 | Assists: 8
[Luka Modric] | [Real Madrid] | [2017/2018] | Goals: 2 | Assists: 8
[Luka Modric] | [Real Madrid] | [2016/2017] | Goals: 1 | Assists: 3
[Luka Modric] | [Real Madrid] | [2015/2016] | Goals: 3 | Assists: 5
[Sergio Ramos] | [Sevilla] | [2023/2024] | Goals: 7 | Assists: 1
[Sergio Ramos] | [PSG] | [2022/2023] | Goals: 4 | Assists: 1
[Sergio Ramos] | [PSG] | [2021/2022] | Goals: 2 | Assists: 0
[Sergio Ramos] | [Real Madrid] | [2020/2021] | Goals: 4 | Assists: 1
[Sergio Ramos] | [Real Madrid] | [2019/2020] | Goals: 13 | Assists: 0
[Sergio Ramos] | [Real Madrid] | [2018/2019] | Goals: 11 | Assists: 1
[Sergio Ramos] | [Real Madrid] | [2017/2018] | Goals: 5 | Assists: 1
[Sergio Ramos] | [Real Madrid] | [2016/2017] | Goals: 10 | Assists: 2
[Sergio Ramos] | [Real Madrid] | [2015/2016] | Goals: 3 | Assists: 2
[Joshua Kimmich] | [Bayern Munchen] | [2023/2024] | Goals: 2 | Assists: 9
[Joshua Kimmich] | [Bayern Munchen] | [2022/2023] | Goals: 7 | Assists: 11
[Joshua Kimmich] | [Bayern Munchen] | [2021/2022] | Goals: 3 | Assists: 11
[Joshua Kimmich] | [Bayern Munchen] | [2020/2021] | Goals: 6 | Assists: 14
[Joshua Kimmich] | [Bayern Munchen] | [2019/2020] | Goals: 7 | Assists: 15
[Joshua Kimmich] | [Bayern Munchen] | [2018/2019] | Goals: 2 | Assists: 18
[Joshua Kimmich] | [Bayern Munchen] | [2017/2018] | Goals: 6 | Assists: 15
[Joshua Kimmich] | [Bayern Munchen] | [2016/2017] | Goals: 9 | Assists: 2
[Leroy Sane] | [Bayern Munchen] | [2023/2024] | Goals: 10 | Assists: 12
[Leroy Sane] | [Bayern Munchen] | [2022/2023] | Goals: 14 | Assists: 9
[Leroy Sane] | [Bayern Munchen] | [2021/2022] | Goals: 14 | Assists: 14
[Leroy Sane] | [Bayern Munchen] | [2020/2021] | Goals: 10 | Assists: 10
[Leroy Sane] | [Man City] | [2019/2020] | Goals: 0 | Assists: 0
[Leroy Sane] | [Man City] | [2018/2019] | Goals: 16 | Assists: 17
[Leroy Sane] | [Man City] | [2017/2018] | Goals: 14 | Assists: 19
[Leroy Sane] | [Man City] | [2016/2017] | Goals: 9 | Assists: 6
[Nacho Fernandez] | [Real Madrid] | [2023/2024] | Goals: 0 | Assists: 1
